55 Cnc d,Radial Velocity,2002,Lick Observatory,4820,77,-72,0,908.98924,79.4571,-79.4571,0,12.5855,0.0124,-0.0123
55 Cnc d,Radial Velocity,2002,Lick Observatory,5218,230,-230,0,1218.827,25.425,-25.425,0,12.5855,0.0124,-0.0123
55 Cnc d,Radial Velocity,2002,Lick Observatory,5360,400,-400,0,1287.2115,127.132,-127.132,0,12.5855,0.0124,-0.0123
55 Cnc d,Radial Velocity,2002,Lick Observatory,5370,230,-230,0,1220.42,184.33,-184.33,0,12.5855,0.0124,-0.0123
55 Cnc d,Radial Velocity,2002,Lick Observatory,4545,1421,-1421,0,918.49,149.37,-149.37,0,12.5855,0.0124,-0.0123
55 Cnc d,Radial Velocity,2002,Lick Observatory,4825,39,-39,0,1232.493,21.612,-21.612,0,12.5855,0.0124,-0.0123
55 Cnc d,Radial Velocity,2002,Lick Observatory,4867,25,-26,0,1226.77,190.69,-47.67,0,12.5855,0.0124,-0.0123
55 Cnc d,Radial Velocity,2002,Lick Observatory,4517.4,77.8,-77.8,0,1243.35096,165.2716,-165.2716,0,12.5855,0.0124,-0.0123
55 Cnc d,Radial Velocity,2002,Lick Observatory,5574.2,93.8,-88.6,0,991.6,30.7,-33.1,0,12.5855,0.0124,-0.0123
55 Cnc d,Radial Velocity,2002,Lick Observatory,4909,30,-30,0,1121.89,25.43,-25.43,0,12.5855,0.0124,-0.0123
55 Cnc e,Radial Velocity,2004,McDonald Observatory,,,,,8.08,0.31,-0.31,0,12.5855,0.0124,-0.0123
55 Cnc e,Radial Velocity,2004,McDonald Observatory,0.7365417,0.0000025,-0.0000028,0,,,,,12.5855,0.0124,-0.0123
55 Cnc e,Radial Velocity,2004,McDonald Observatory,0.7365478,0.0000016,-0.0000012,0,8.09479,0.26061,-0.25743,0,12.5855,0.0124,-0.0123
55 Cnc e,Radial Velocity,2004,McDonald Observatory,0.736539,0.000007,-0.000007,0,8.08,0.31,-0.31,0,12.5855,0.0124,-0.0123
55 Cnc e,Radial Velocity,2004,McDonald Observatory,2.79674,0.0001,-0.0001,0,7.4687,1.5573,-1.5573,0,12.5855,0.0124,-0.0123
55 Cnc e,Radial Velocity,2004,McDonald Observatory,0.73654582,0.00000101,-0.00000101,0,,,,,12.5855,0.0124,-0.0123
55 Cnc e,Radial Velocity,2004,McDonald Observatory,0.7365437,0.0000052,-0.0000052,0,7.81,0.58,-0.53,0,12.5855,0.0124,-0.0123
55 Cnc e,Radial Velocity,2004,McDonald Observatory,0.73654604,0.00000016,-0.00000016,0,,,,,12.5855,0.0124,-0.0123
55 Cnc e,Radial Velocity,2004,McDonald Observatory,2.808,0.002,-0.002,0,14.30235,3.1783,-3.1783,0,12.5855,0.0124,-0.0123
55 Cnc e,Radial Velocity,2004,McDonald Observatory,0.737,,,0,7.74,0.37,-0.3,0,12.5855,0.0124,-0.0123
55 Cnc e,Radial Velocity,2004,McDonald Observatory,0.7365474,0.0000013,-0.0000013,0,8.59,0.43,-0.43,0,12.5855,0.0124,-0.0123
55 Cnc e,Radial Velocity,2004,McDonald Observatory,0.736546,0.000003,-0.000003,0,8.37,0.38,-0.38,0,12.5855,0.0124,-0.0123
55 Cnc e,Radial Velocity,2004,McDonald Observatory,0.7365515,0.0000015,-0.0000015,0,8.13928,0.23201,-0.23201,0,12.5855,0.0124,-0.0123
55 Cnc e,Radial Velocity,2004,McDonald Observatory,0.73654,0.000003,-0.000003,0,8.63,0.35,-0.35,0,12.5855,0.0124,-0.0123
55 Cnc e,Radial Velocity,2004,McDonald Observatory,,,,,,,,,12.5855,0.0124,-0.0123
55 Cnc e,Radial Velocity,2004,McDonald Observatory,0.7365474,0.0000013,-0.0000014,0,7.99,0.32,-0.33,0,12.5855,0.0124,-0.0123
55 Cnc e,Radial Velocity,2004,McDonald Observatory,0.7365445,0.0000014,-0.0000015,0,9.37594,0.44496,-0.44496,0,12.5855,0.0124,-0.0123
55 Cnc f,Radial Velocity,2007,Multiple Observatories,262,0.51,-0.51,0,44.812,3.814,-3.814,0,12.5855,0.0124,-0.0123
55 Cnc f,Radial Velocity,2007,Multiple Observatories,260.91,0.36,-0.36,0,47.0051,6.9602,-2.9557,0,12.5855,0.0124,-0.0123
55 Cnc f,Radial Velocity,2007,Multiple Observatories,260.7,1.1,-1.1,0,44.812,12.395,-12.395,0,12.5855,0.0124,-0.0123
55 Cnc f,Radial Velocity,2007,Multiple Observatories,259.88,0.29,-0.29,0,47.8,2.4,-2.4,0,12.5855,0.0124,-0.0123
55 Cnc f,Radial Velocity,2007,Multiple Observatories,260,1.1,-1.1,0,45.766,12.713,-12.713,0,12.5855,0.0124,-0.0123
55 Cnc f,Radial Velocity,2007,Multiple Observatories,260.98,0.24,-0.24,0,46.87969,2.98759,-2.98759,0,12.5855,0.0124,-0.0123
55 Cnc f,Radial Velocity,2007,Multiple Observatories,261.2,0.4,-0.4,0,54.664,2.543,-2.543,0,12.5855,0.0124,-0.0123
6 Lyn b,Radial Velocity,2008,Okayama Astrophysical Observatory,899,19,-19,0,762.8,,,0,54.6599,0.2734,-0.2734
6 Lyn b,Radial Velocity,2008,Okayama Astrophysical Observatory,874.774,16.27,-8.47,0,702.4043,34.9613,-50.8528,0,54.6599,0.2734,-0.2734
6 Lyn b,Radial Velocity,2008,Okayama Astrophysical Observatory,919.86,1.92,-3.71,0,597.83523,12.07748,-28.28673,0,54.6599,0.2734,-0.2734
6 Lyn b,Radial Velocity,2008,Okayama Astrophysical Observatory,934.3,8.6,-8.6,0,638.8383,24.47291,-24.47291,0,54.6599,0.2734,-0.2734
61 Vir b,Radial Velocity,2009,Multiple Observatories,4.21487,0.00016,-0.00016,0,5.11704,0.54031,-0.50853,0,8.50332,0.01737,-0.0173
61 Vir b,Radial Velocity,2009,Multiple Observatories,4.215,0.0006,-0.0006,0,5.1,0.5,-0.5,0,8.50332,0.01737,-0.0173
61 Vir c,Radial Velocity,2009,Multiple Observatories,38.0957,0.0083,-0.0083,0,16.1139,1.1124,-1.17597,0,8.50332,0.01737,-0.0173
61 Vir c,Radial Velocity,2009,Multiple Observatories,38.021,0.034,-0.034,0,18.2,1.1,-1.1,0,8.50332,0.01737,-0.0173
61 Vir d,Radial Velocity,2009,Multiple Observatories,123.01,0.55,-0.55,0,22.9,2.6,-2.6,0,8.50332,0.01737,-0.0173
7 CMa b,Radial Velocity,2011,Anglo-Australian Telescope,796,7.4,-7.4,0,781.8618,44.4962,-44.4962,0,19.8101,0.1648,-0.1648
7 CMa b,Radial Velocity,2011,Anglo-Australian Telescope,763,17,-17,0,826.3,190.7,-190.7,0,19.8101,0.1648,-0.1648
7 CMa b,Radial Velocity,2011,Anglo-Australian Telescope,735.1,14.8,-1,0,587.9855,19.0698,-19.0698,0,19.8101,0.1648,-0.1648
7 CMa c,Radial Velocity,2019,Multiple Observatories,996,1.5,-52.4,0,276.5121,19.0698,-19.0698,0,19.8101,0.1648,-0.1648
70 Vir b,Radial Velocity,1996,Lick Observatory,116.689,0.011,-0.011,0,2084.88,12.71,-12.71,0,17.9011,0.056,-0.0557
70 Vir b,Radial Velocity,1996,Lick Observatory,116.6884,0.0044,-0.0044,0,2421.8646,108.0622,-108.0622,0,17.9011,0.056,-0.0557
70 Vir b,Radial Velocity,1996,Lick Observatory,116.69335,0.00093,-0.00097,0,2297.89938,41.31769,-41.31769,0,17.9011,0.056,-0.0557
70 Vir b,Radial Velocity,1996,Lick Observatory,116.688,0.0054,-0.0054,0,2357.02728,18.11631,-18.11631,0,17.9011,0.056,-0.0557
70 Vir b,Radial Velocity,1996,Lick Observatory,116.6884,0.0044,-0.0044,0,2380.45,193.87,-193.87,0,17.9011,0.056,-0.0557
70 Vir b,Radial Velocity,1996,Lick Observatory,116.6926,0.0014,-0.0014,0,2351.942,6.3566,-6.3566,0,17.9011,0.056,-0.0557
75 Cet b,Radial Velocity,2012,Okayama Astrophysical Observatory,691.9,3.6,-3.6,0,953.49,,,0,82.9613,0.72365,-0.72365
75 Cet b,Radial Velocity,2012,Okayama Astrophysical Observatory,696.62,1.33,-1.69,0,787.89662,23.5193,-28.60456,0,82.9613,0.72365,-0.72365
